company,cc,vertical,index,raw_sector,market_cap_usd,revenue_usd,employees,ticker
Eneos Holdings,JP,,Nikkei225,Petroleum,23666666667,78466666667,34099,5020.T
"Idemitsu Kosan Co., Ltd",JP,,Nikkei225,Petroleum,10600000000,54066666667,14392,5019.T
Astellas Pharma Inc.,JP,,Nikkei225,Pharmaceuticals,25800000000,14266666667,14099,4503.T
"Chugai Pharmaceutical Co., Ltd.",JP,,Nikkei225,Pharmaceuticals,79133333333,8600000000,5104,4519.T
"Daiichi Sankyo Company, Limited",JP,,Nikkei225,Pharmaceuticals,32866666667,14133333333,20171,4568.T
"Eisai Co., Ltd.",JP,,Nikkei225,Pharmaceuticals,8533333333,5502533333,10543,4523.T
"Kyowa Hakko Kirin Co., Ltd.",JP,,Nikkei225,Pharmaceuticals,9066666667,3403800000,5161,4151.T
"Otsuka Holdings Co., Ltd.",JP,,Nikkei225,Pharmaceuticals,38200000000,16466666667,37758,4578.T
"Sumitomo Dainippon Pharma Co., Ltd.",JP,,Nikkei225,Pharmaceuticals,3845933333,3021933333,4980,4506.T
"Shionogi & Co., Ltd.",JP,,Nikkei225,Pharmaceuticals,16133333333,3331200000,6223,4507.T
Takeda Pharmaceutical Company Limited,JP,,Nikkei225,Pharmaceuticals,58600000000,30066666667,47029,4502.T
Disco Corporation Ltd.,JP,,Nikkei225,Precision Instruments,50200000000,2912600000,5547,6146.T
Hoya Corporation,JP,,Nikkei225,Precision Instruments,55866666667,6318333333,37752,7741.T
"Konica Minolta Holdings, Inc.",JP,,Nikkei225,Precision Instruments,2097000000,7266666667,34363,4902.T
Nikon Corp.,JP,,Nikkei225,Precision Instruments,4879866667,4514400000,19928,7731.T
Olympus Corp.,JP,,Nikkei225,Precision Instruments,12200000000,6733333333,28138,7733.T
Terumo Corp.,JP,,Nikkei225,Precision Instruments,21200000000,7533333333,28294,4543.T
Oji Holdings Corporation,JP,,Nikkei225,Pulp & Paper,4921066667,12400000000,38757,3861.T
Central Japan Railway Company,JP,,Nikkei225,Railway/Bus,24066666667,13400000000,29569,9022.T
East Japan Railway Company,JP,,Nikkei225,Railway/Bus,27200000000,20533333333,70623,9020.T
Keio Corp.,JP,,Nikkei225,Railway/Bus,3002066667,3312933333,13079,9008.T
"Keisei Electric Railway Co., Ltd.",JP,,Nikkei225,Railway/Bus,3983266667,2216133333,13231,9009.T
"Odakyu Electric Railway Co., Ltd.",JP,,Nikkei225,Railway/Bus,3926200000,2791533333,11656,9007.T
"Tobu Railway Co., Ltd.",JP,,Nikkei225,Railway/Bus,3892400000,4369600000,18148,9001.T
Tokyu Corp.,JP,,Nikkei225,Railway/Bus,6573000000,7266666667,24262,9005.T
West Japan Railway Company,JP,,Nikkei225,Railway/Bus,8866666667,12333333333,47225,9021.T
"Mitsubishi Estate Co., Ltd.",JP,,Nikkei225,Real Estate,32600000000,11666666667,11659,8802.T
"Mitsui Fudosan Co., Ltd",JP,,Nikkei225,Real Estate,27800000000,18066666667,27704,8801.T
"Sumitomo Realty & Development Co., Ltd.",JP,,Nikkei225,Real Estate,23333333333,7066666667,14116,8830.T
"Tokyo Tatemono Co., Ltd.",JP,,Nikkei225,Real Estate,4779400000,3163933333,5035,8804.T
Tokyu Land Corp.,JP,,Nikkei225,Real Estate,6359933333,8333333333,21036,3289.T
"Aeon Co., Ltd.",JP,,Nikkei225,Retail,25066666667,73933333333,179230,8267.T
"Fast Retailing Co., Ltd.",JP,,Nikkei225,Retail,157733333333,25666666667,59522,9983.T
Isetan Mitsukoshi Holdings Ltd.,JP,,Nikkei225,Retail,8533333333,3637533333,8670,3099.T
"J. Front Retailing Co., Ltd.",JP,,Nikkei225,Retail,4801800000,2967266667,5584,3086.T
"Marui Group Co., Ltd.",JP,,Nikkei225,Retail,3486666667,1845733333,3820,8252.T
"Muji Co., Ltd",JP,,Nikkei225,Retail,14933333333,5895466667,13912,7453.T
"Nitori Holdings Co., Ltd.",JP,,Nikkei225,Retail,8933333333,6081666667,19432,9843.T
Pan Pacific International Holdings Corp.,JP,,Nikkei225,Retail,17066666667,15000000000,17075,7532.T
"Seven & I Holdings Co., Ltd.",JP,,Nikkei225,Retail,32066666667,56933333333,35967,3382.T
"Takashimaya Co., Ltd.",JP,,Nikkei225,Retail,4693266667,2715466667,6518,8233.T
"ZOZO Co., Ltd",JP,,Nikkei225,Retail,6666666667,1522466667,1894,3092.T
Bridgestone Corp.,JP,,Nikkei225,Rubber,31400000000,29533333333,115716,5108.T
"Yokohama Rubber Co., Ltd.",JP,,Nikkei225,Rubber,8133333333,8200000000,34471,5101.T
Daiwa Securities Group Inc.,JP,,Nikkei225,Securities,17266666667,9800000000,14984,8601.T
"Nomura Holdings, Inc.",JP,,Nikkei225,Securities,31666666667,14466666667,28677,8604.T
Baycurrent Inc.,JP,,Nikkei225,Services,6133466667,1057333333,6788,6532.T
CyberAgent Inc.,JP,,Nikkei225,Services,4744800000,6209333333,8150,4751.T
"Dena Co., Ltd.",JP,,Nikkei225,Services,1484733333,984666667,2483,2432.T
Dentsu Inc.,JP,,Nikkei225,Services,5818200000,9666666667,67454,4324.T
"Japan Post Holdings Co., Ltd.",JP,,Nikkei225,Services,44733333333,75333333333,224438,6178.T
Konami Corp.,JP,,Nikkei225,Services,16466666667,3291200000,5186,9766.T
LY Corporation,JP,,Nikkei225,Services,20000000000,13600000000,29863,4689.T
Mercari Inc.,JP,,Nikkei225,Services,4894933333,1439066667,2159,4385.T
M3 Inc.,JP,,Nikkei225,Services,8066666667,2342400000,17010,2413.T
"Nexon Co., Ltd.",JP,,Nikkei225,Services,11733333333,3422666667,9834,3659.T
"Nintendo Co., Ltd.",JP,,Nikkei225,Services,53800000000,15400000000,8666,7974.T
Nomura Research Institute Ltd.,JP,,Nikkei225,Services,17666666667,5431400000,16894,4307.T
"Oriental Land Co., Ltd.",JP,,Nikkei225,Services,28733333333,4696933333,11207,4661.T
Rakuten Inc.,JP,,Nikkei225,Services,11600000000,17200000000,29419,4755.T
"Recruit Holdings Co., Ltd.",JP,,Nikkei225,Services,114400000000,24666666667,45586,6098.T
"Secom Co., Ltd.",JP,,Nikkei225,Services,17866666667,8400000000,65094,9735.T
SHIFT Inc.,JP,,Nikkei225,Services,1270866667,865466667,11688,3697.T
"Toho Co., Ltd.",JP,,Nikkei225,Services,7600000000,2404400000,4088,9602.T
Trend Micro Inc.,JP,,Nikkei225,Services,5333466667,1839866667,6717,4704.T
"Kawasaki Heavy Industries, Ltd.",JP,,Nikkei225,Shipbuilding,15466666667,15400000000,39689,7012.T
"JFE Holdings, Inc.",JP,,Nikkei225,Steel,7266666667,30266666667,61628,5411.T
"Kobe Steel, Ltd.",JP,,Nikkei225,Steel,5250266667,16266666667,38614,5406.T
Nippon Steel Corp.,JP,,Nikkei225,Steel,21200000000,67066666667,138453,5401.T
Teijin Ltd.,JP,,Nikkei225,Textiles & Apparel,2200533333,5821266667,15689,3401.T
"Toray Industries, Inc.",JP,,Nikkei225,Textiles & Apparel,11333333333,17266666667,46294,3402.T
Itochu Corp.,JP,,Nikkei225,Trading Companies,91866666667,98800000000,114570,8001.T
Marubeni Corp.,JP,,Nikkei225,Trading Companies,58533333333,55133333333,42882,8002.T
Mitsubishi Corp.,JP,,Nikkei225,Trading Companies,120000000000,126133333333,77476,8058.T
"Mitsui & Co., Ltd.",JP,,Nikkei225,Trading Companies,93933333333,93333333333,55463,8031.T
Sojitz Corp.,JP,,Nikkei225,Trading Companies,7600000000,18400000000,26789,2768.T
Sumitomo Corp.,JP,,Nikkei225,Trading Companies,51600000000,48933333333,74920,8053.T
Toyota Tsusho Corp.,JP,,Nikkei225,Trading Companies,41200000000,77066666667,74927,8015.T
Samsung Electronics,KR,,KOSPI,IT,1268562962963,247118518519,128925,005930.KS
SK Hynix,KR,,KOSPI,IT,1036066666667,97837037037,47639,000660.KS
Samsung Biologics,KR,,KOSPI,Health Care,47288888889,3377777778,5047,207940.KS
LG Energy Solution,KR,,KOSPI,Industrials,60318518519,17533333333,12461,373220.KS
Hyundai Motor,KR,,KOSPI,Consumer Discretionary,73903703704,137962962963,126069,005380.KS
Celltrion,KR,,KOSPI,Health Care,29251851852,3081481481,2680,068270.KS
Kia,KR,,KOSPI,Consumer Discretionary,42259259259,84548148148,32366,000270.KS
Naver,KR,,KOSPI,Communication Services,24385185185,8918518519,4390,035420.KS
KB Financial,KR,,KOSPI,Financials,46007407407,11762962963,142,105560.KS
Hanwha Aerospace,KR,,KOSPI,Industrials,36511111111,19777777778,7092,012450.KS
Samsung SDI,KR,,KOSPI,IT,24170370370,10125925926,13073,006400.KS
Samsung C&T,KR,,KOSPI,Constructions,41896296296,30177777778,7891,028260.KS
POSCO,KR,,KOSPI,Steels & Materials,18029629630,51503703704,406,005490.KS
Kakao,KR,,KOSPI,Communication Services,12125925926,6000000000,3829,035720.KS
Shinhan Financial,KR,,KOSPI,Financials,36496296296,11644444444,165,055550.KS
Hyundai Mobis,KR,,KOSPI,Consumer Discretionary,34614814815,45274074074,,012330.KS
LG Chem,KR,,KOSPI,Energy & Chemicals,14896296296,33777777778,14344,051910.KS
Samsung Life,KR,,KOSPI,Financials,43829629630,14814814815,461,032830.KS
Hana Financial,KR,,KOSPI,Financials,26281481481,9177777778,103,086790.KS
KT&G,KR,,KOSPI,Consumer Staples,13577777778,5029629630,4130,033780.KS
Samsung Electro-Mechanics,KR,,KOSPI,IT,7343703704,8377777778,36402,009150.KS
Korea Zinc,KR,,KOSPI,Steels & Materials,15755555556,12288888889,1891,010130.KS
HD Hyundai Heavy Industries,KR,,KOSPI,Heavy Industries,38711111111,13022222222,12297,329180.KS
LG Electronics,KR,,KOSPI,IT,22866666667,66074074074,34884,066570.KS
Samsung Fire & Marine,KR,,KOSPI,Financials,19607407407,16118518519,5425,000810.KS
SK Innovation,KR,,KOSPI,Energy & Chemicals,16525925926,59481481481,1505,096770.KS
Hanwha Ocean,KR,,KOSPI,Heavy Industries,20400000000,9466666667,9460,042660.KS
Krafton,KR,,KOSPI,Communication Services,7711111111,2829629630,1781,259960.KS
Meritz Financial,KR,,KOSPI,Financials,13829629630,14659259259,21,138040.KS
Woori Financial,KR,,KOSPI,Financials,16733333333,7488888889,68,316140.KS
HD Korea Shipbuilding & Offshore Engineering,KR,,KOSPI,Heavy Industries,18518518519,22170370370,1462,009540.KS
Samsung SDS,KR,,KOSPI,IT,12488888889,10318518519,11332,018260.KS
POSCO Future M,KR,,KOSPI,Industrials,10029629630,2111111111,2515,003670.KS
HMM,KR,,KOSPI,Industrials,14674074074,8066666667,1818,011200.KS
SK Telecom,KR,,KOSPI,Communication Services,15807407407,12622222222,24569,017670.KS
SK Square,KR,,KOSPI,IT,,7748148148,88,402340.KS
Doosan Enerbility,KR,,KOSPI,Heavy Industries,34725925926,12637037037,4444,034020.KS
LG,KR,,KOSPI,IT,11525925926,5370370370,198,003550.KS
KEPCO,KR,,KOSPI,Consumer Staples,16118518519,72296296296,22179,015760.KS
SK,KR,,KOSPI,Energy & Chemicals,26451851852,95222222222,4222,034730.KS
Hyundai Glovis,KR,,KOSPI,Industrials,11362962963,21903703704,2395,086280.KS
Ecopro Materials,KR,,KOSPI,Industrials,1940740741,290748148,180,450080.KS
KakaoBank,KR,,KOSPI,Financials,7807407407,1229629630,,323410.KS
LG Innotek,KR,,KOSPI,IT,11340740741,16222222222,10255,011070.KS
Hanwha Solutions,KR,,KOSPI,Energy & Chemicals,3800000000,9874074074,5656,009830.KS
SK Biopharm,KR,,KOSPI,Health Care,4451851852,523511111,246,326030.KS
Doosan Bobcat,KR,,KOSPI,Heavy Industries,4918518519,7074074074,142,241560.KS
S-Oil,KR,,KOSPI,Energy & Chemicals,12696296296,25333333333,3155,010950.KS
LG H&H,KR,,KOSPI,Consumer Staples,2844444444,4614814815,4448,051900.KS
Kakao Pay,KR,,KOSPI,Financials,4340740741,777777778,1131,377300.KS
HD Hyundai,KR,,KOSPI,Energy & Chemicals,12118518519,52785185185,42,267250.KS
Hyundai E&C,KR,,KOSPI,Constructions,8170370370,22140740741,4684,000720.KS
LG Uplus,KR,,KOSPI,Communication Services,4651851852,11488888889,10290,032640.KS
KT,KR,,KOSPI,Communication Services,9414814815,20918518519,14020,030200.KS
Netmarble,KR,,KOSPI,Communication Services,2229629630,2103703704,752,251270.KS
HD Hyundai Electric,KR,,KOSPI,Heavy Industries,23170370370,3037037037,2022,267260.KS
Amorepacific,KR,,KOSPI,Consumer Staples,5377777778,3148148148,4371,090430.KS
Mirae Asset Securities,KR,,KOSPI,Financials,13688888889,15637037037,2645,006800.KS
Korea Aerospace,KR,,KOSPI,Industrials,11851851852,2740740741,4788,047810.KS
LIG Nex1,KR,,KOSPI,Industrials,11911111111,3192592593,5766,079550.KS
DB Insurance,KR,,KOSPI,Financials,6955555556,15466666667,4479,005830.KS
Hyundai Steel,KR,,KOSPI,Steels & Materials,2740740741,16970370370,11167,004020.KS
Coway,KR,,KOSPI,Consumer Discretionary,4711111111,3674074074,6096,021240.KS
NC,KR,,KOSPI,Communication Services,3229629630,1259259259,3086,036570.KS
Samsung Securities,KR,,KOSPI,Financials,6940740741,11622222222,580,016360.KS
Hyundai Marine & Fire,KR,,KOSPI,Financials,2125925926,11918518519,3839,001450.KS
GS,KR,,KOSPI,Energy & Chemicals,6518518519,19111111111,74,078930.KS
Samsung Card,KR,,KOSPI,Financials,3807407407,2103703704,1774,029780.KS
CJ CheilJedang,KR,,KOSPI,Consumer Staples,2192592593,20555555556,8150,097950.KS
Lotte Chemical,KR,,KOSPI,Energy & Chemicals,1851851852,13755555556,4224,011170.KS
Emart,KR,,KOSPI,Consumer Staples,1659259259,21385185185,22702,139480.KS
NH Investment & Securities,KR,,KOSPI,Financials,7985185185,9288888889,2201,005940.KS
Doosan Robotics,KR,,KOSPI,Heavy Industries,3348148148,31844444,237,454910.KS
Industrial Bank of Korea,KR,,KOSPI,Financials,12437037037,6703703704,13333,024110.KS
Korea Gas,KR,,KOSPI,Consumer Staples,2222222222,26466666667,4206,036460.KS
Hanwha Systems,KR,,KOSPI,Industrials,8570370370,2800000000,4620,272210.KS
Hanmi Semiconductor,KR,,KOSPI,IT,15177777778,427170370,698,042700.KS
Hybe,KR,,KOSPI,Communication Services,6718518519,2111111111,765,352820.KS
Hankook & Company,KR,,KOSPI,Consumer Discretionary,1785185185,1081481481,1153,000240.KS
Korean Air,KR,,KOSPI,Industrials,7044444444,18807407407,18000,003490.KS
Hyundai AutoEver,KR,,KOSPI,IT,8733333333,3148148148,5706,307950.KS
Kiwoom Securities,KR,,KOSPI,Financials,6111111111,10422222222,642,039490.KS
LS Electric,KR,,KOSPI,Industrials,24614814815,3681481481,3267,010120.KS
KCC,KR,,KOSPI,Constructions,2192592593,4822222222,3311,002380.KS
Green Cross,KR,,KOSPI,Health Care,1000000000,1474074074,2042,006280.KS
Yuhan,KR,,KOSPI,Health Care,3940740741,1622222222,2087,000100.KS
Daewoong Pharmaceutical,KR,,KOSPI,Health Care,1022222222,1162962963,1644,069620.KS
Hanmi Pharm,KR,,KOSPI,Health Care,3466666667,1148148148,2400,128940.KS
SK Bioscience,KR,,KOSPI,Health Care,1903703704,482496296,917,302440.KS
LG Display,KR,,KOSPI,IT,3748148148,18740740741,29931,034220.KS
CJ,KR,,KOSPI,Consumer Staples,3162962963,33977777778,62,001040.KS
Lotte Shopping,KR,,KOSPI,Consumer Discretionary,2814814815,10266666667,17055,023530.KS
Shinsegae,KR,,KOSPI,Consumer Discretionary,3555555556,5133333333,2624,004170.KS
Hotel Shilla,KR,,KOSPI,Consumer Discretionary,1318518519,3014814815,1590,008770.KS
BGF Retail,KR,,KOSPI,Consumer Staples,282518519,347755556,49,027410.KS
GS Retail,KR,,KOSPI,Consumer Staples,1577777778,8933333333,5398,007070.KS
Nongshim,KR,,KOSPI,Consumer Staples,1570370370,2637037037,5302,004370.KS
Orion,KR,,KOSPI,Consumer Staples,3762962963,2466666667,1471,271560.KS
HiteJinro,KR,,KOSPI,Consumer Staples,770370370,1851851852,2871,000080.KS
Cheil Worldwide,KR,,KOSPI,Communication Services,1407407407,3370370370,1464,030000.KS
Samsung Heavy Industries,KR,,KOSPI,Heavy Industries,14962962963,7888888889,8470,010140.KS
Doosan,KR,,KOSPI,Heavy Industries,13518518519,15222222222,1671,000150.KS
LS,KR,,KOSPI,Industrials,6511111111,23607407407,92,006260.KS
POSCO International,KR,,KOSPI,Industrials,7148148148,24185185185,1709,047050.KS
Pan Ocean,KR,,KOSPI,Industrials,2096296296,4022222222,1141,028670.KS
Kolon Industries,KR,,KOSPI,Energy & Chemicals,1296296296,3614814815,3905,120110.KS
Hanon Systems,KR,,KOSPI,Consumer Discretionary,2881481481,8155555556,1979,018880.KS
HL Mando,KR,,KOSPI,Consumer Discretionary,1644444444,7037037037,3585,204320.KS
Kangwon Land,KR,,KOSPI,Consumer Discretionary,2111111111,1103703704,3707,035250.KS
AFMA,MA,,MASI,Financials / Assurances (courtage),110000000,,,
Afric Industries,MA,,MASI,Industrials,9000000,,,
Afriquia Gaz,MA,,MASI,Oil & Gas / Gaz,1258000000,,,GAZ
AGMA,MA,,MASI,Financials / Assurances (courtage),143000000,,,
Alliances Développement Immobilier,MA,,MASI,Financials / Immobilier,816000000,,,ADI
Aluminium du Maroc,MA,,MASI,Industrials,80000000,,,
AtlantaSanad,MA,,MASI,Financials / Assurances,738000000,,,ATL
Attijariwafa Bank,MA,,MASI,Financials / Banques,14627000000,,,ATW
Auto Hall,MA,,MASI,Consumer Services / Distribution automobile,331000000,,,ATH
Auto Nejma,MA,,MASI,Consumer Services / Distribution automobile,552000000,,,NEJ
Balima,MA,,MASI,Financials / Immobilier,33000000,,,
Banque Centrale Populaire (BCP),MA,,MASI,Financials / Banques,5064000000,,,BCP
Bank of Africa (BMCE),MA,,MASI,Financials / Banques,4097000000,,,BOA
BMCI,MA,,MASI,Financials / Banques,807000000,,,BCI
Société des Boissons du Maroc,MA,,MASI,Consumer Goods / Boissons,569000000,,,SBM
Cartier Saada,MA,,MASI,Consumer Goods / Agroalimentaire,12000000,,,
Crédit du Maroc,MA,,MASI,Financials / Banques,1054000000,,,CDM
CIH Bank,MA,,MASI,Financials / Banques,1249000000,,,CIH
Ciments du Maroc,MA,,MASI,Industrials / Bâtiment et matériaux de construction,2402000000,,,CMA
Colorado,MA,,MASI,Basic Materials / Chimie,124000000,,,
Cosumar,MA,,MASI,Consumer Goods / Agroalimentaire (sucre),1748000000,,,CSR
CTM,MA,,MASI,Consumer Services / Transport,106000000,,,CTM
Dari Couspate,MA,,MASI,Consumer Goods / Agroalimentaire,125000000,,,DARI
Delattre Levivier Maroc,MA,,MASI,Industrials / Ingénierie,7000000,,,
Delta Holding,MA,,MASI,Industrials / Holding diversifié,474000000,,,DHO
Diac Salaf,MA,,MASI,Financials / Sociétés de financement,2000000,,,
Disway,MA,,MASI,Technology / Distribution informatique,145000000,,,DWY
Douja Promotion Groupe Addoha,MA,,MASI,Financials / Immobilier,1304000000,,,ADH
Ennakl,MA,,MASI,Consumer Services / Distribution automobile,147000000,,,
Eqdom,MA,,MASI,Financials / Sociétés de financement,267000000,,,EQD
Fenie Brossette,MA,,MASI,Industrials / Distribution de biens d'équipement,40000000,,,
Holcim (Maroc),MA,,MASI,Industrials / Bâtiment et matériaux de construction,4355000000,,,LHM
Hightech Payment Systems (HPS),MA,,MASI,Technology / Services informatiques,442000000,,,HPS
IB Maroc.Com,MA,,MASI,Technology / Services informatiques,2000000,,,
Involys,MA,,MASI,Technology / Logiciels,4000000,,,
Itissalat Al-Maghrib (Maroc Telecom),MA,,MASI,Telecom / Télécommunications,7966000000,,,IAM
Jet Contractors,MA,,MASI,Industrials / Bâtiment et construction,618000000,,,JET
Label'Vie,MA,,MASI,Consumer Services / Grande distribution,1056000000,,,LBV
LafargeHolcim Maroc,MA,,MASI,Industrials / Bâtiment et matériaux de construction,4355000000,,,LHM
Lesieur Cristal,MA,,MASI,Consumer Goods / Agroalimentaire (huiles),842000000,,,LES
M2M Group,MA,,MASI,Technology / Services informatiques,23000000,,,
Maghreb Oxygène,MA,,MASI,Basic Materials / Chimie (gaz industriels),29000000,,,
Maghrebail,MA,,MASI,Financials / Sociétés de financement (leasing),124000000,,,
Managem,MA,,MASI,Basic Materials / Mines,15068000000,,,MNG
Maroc Leasing,MA,,MASI,Financials / Sociétés de financement (leasing),101000000,,,
Med Paper,MA,,MASI,Basic Materials / Papier,12000000,,,
Microdata,MA,,MASI,Technology / Distribution informatique,121000000,,,
Minière Touissit (CMT),MA,,MASI,Basic Materials / Mines,731000000,,,CMT
Oulmès (Eaux Minérales d'Oulmès),MA,,MASI,Consumer Goods / Boissons,228000000,,,OUL
Promopharm S.A.,MA,,MASI,Health Care / Industrie pharmaceutique,134000000,,,
Réalisations Mécaniques (SRM),MA,,MASI,Industrials / Ingénierie,14000000,,,
Rebab Company,MA,,MASI,Basic Materials,1000000,,,
Résidences Dar Saada,MA,,MASI,Financials / Immobilier,441000000,,,RDS
Risma,MA,,MASI,Consumer Services / Hôtellerie et loisirs,442000000,,,RIS
S.M Monétique,MA,,MASI,Technology / Services informatiques,37000000,,,
Sanlam Maroc,MA,,MASI,Financials / Assurances,1192000000,,,SAH
Salafin,MA,,MASI,Financials / Sociétés de financement,134000000,,,SLF
Samir,MA,,MASI,Oil & Gas / Raffinage,152000000,,,SAM
SMI (Société Métallurgique d'Imiter),MA,,MASI,Basic Materials / Mines,1036000000,,,SMI
SNEP,MA,,MASI,Basic Materials / Chimie,72000000,,,SNP
Sonasid,MA,,MASI,Basic Materials / Sidérurgie,760000000,,,SID
Sothema,MA,,MASI,Health Care / Industrie pharmaceutique,255000000,,,SOT
Stokvis Nord Afrique,MA,,MASI,Industrials / Distribution de biens d'équipement,122000000,,,
Stroc Industrie,MA,,MASI,Industrials / Ingénierie,22000000,,,
TAQA Morocco,MA,,MASI,Utilities / Électricité,4170000000,,,TQM
TotalEnergies Marketing Maroc,MA,,MASI,Oil & Gas / Distribution de carburants,1317000000,,,TMA
Unimer,MA,,MASI,Consumer Goods / Agroalimentaire (conserves),202000000,,,
Wafa Assurance,MA,,MASI,Financials / Assurances,1802000000,,,WAA
Zellidja S.A,MA,,MASI,Basic Materials / Mines,10000000,,,
SODEP - Marsa Maroc,MA,,MASI,Industrials / Transport (exploitation portuaire),6385000000,,,MSA
Immorente Invest,MA,,MASI,Financials / Immobilier (foncière),81000000,,,
Mutandis SCA,MA,,MASI,Consumer Goods / Biens de consommation,212000000,,,MUT
Aradei Capital,MA,,MASI,Financials / Immobilier (foncière),537000000,,,ARD
TGCC S.A.,MA,,MASI,Industrials / Bâtiment et construction,2565000000,,,TGC
Disty Technologies,MA,,MASI,Technology / Distribution informatique,33000000,,,
Akdital,MA,,MASI,Health Care / Cliniques privées,1608000000,,,AKT
CFG Bank,MA,,MASI,Financials / Banques,665000000,,,CFG
CMGP Group,MA,,MASI,Consumer Goods / Industrie agricole (irrigation),528000000,,,CMGP
Vicenne,MA,,MASI,Technology / Dispositifs médicaux,350000000,,,VCN
Cash Plus,MA,,MASI,Technology / Services de paiement,614000000,,,CSHP
Arca Continental,MX,,IPC,Beverages,19348888889,13908333333,70837,AC
ALFA,MX,,IPC,Industrials,,,,
Alsea,MX,,IPC,Consumer Discretionary,1781666667,4724444444,73875,ALSEA
América Móvil,MX,,IPC,Telecom,78290000000,54700000000,177711,AMX
Grupo Aeroportuario del Sureste,MX,,IPC,Transport Infrastructure,8170000000,2070000000,2023,ASR
Banco del Bajío,MX,,IPC,Banks,,,4000,BBAJIOO
Grupo Bimbo,MX,,IPC,Food Products,14880000000,23510000000,152780,GRBMF
Bolsa Mexicana de Valores,MX,,IPC,Financials,,,,BOLSAA
Cemex,MX,,IPC,Construction Materials,18450000000,17040000000,39886,CX
Becle,MX,,IPC,Beverages,2881111111,2270000000,7790,CUERVO
Grupo Elektra,MX,,IPC,Banks,5090555556,6428888889,62298,ELEKTRA
FEMSA,MX,,IPC,Beverages,40200000000,47310000000,368776,FMX
Grupo Aeroportuario del Pacífico,MX,,IPC,Transport Infrastructure,12880000000,1900000000,3637,PAC
Grupo Carso,MX,,IPC,Industrials,,5368888889,72944,GCARSOA1
Grupo Cementos de Chihuahua,MX,,IPC,Construction Materials,3763888889,1460000000,3172,GCC
Inbursa,MX,,IPC,Banks,,1300000000,,GFINBURO
Banorte,MX,,IPC,Banks,29558333333,7838888889,35176,GFNORTEO
Grupo México,MX,,IPC,Mining,96170000000,21030000000,31757,GMBXF
Gruma,MX,,IPC,Food Products,,3800000000,17845,GRUMAB
Kimberly-Clark de México,MX,,IPC,Household Products,6650000000,3220000000,9556,KCDMY
Coca-Cola FEMSA,MX,,IPC,Beverages,21670000000,16230000000,108378,KOF
Genomma Lab Internacional,MX,,IPC,Healthcare,,,,
El Puerto de Liverpool,MX,,IPC,Retail,7457777778,12720555556,81723,LIVEPOLC1
Megacable,MX,,IPC,Media,,,,MEGACPO
Grupo Aeroportuario Centro Norte,MX,,IPC,Transport Infrastructure,5070000000,899290000,1190,OMAB
Orbia,MX,,IPC,Chemicals,2584444444,7917222222,22683,ORBIA
Peñoles,MX,,IPC,Mining,18670000000,10290000000,15611,IPOAF
Pinfra,MX,,IPC,Construction & Engineering,6512222222,1160555556,2824,PINFRA
Quálitas,MX,,IPC,Insurance,3463888889,4246666667,5646,Q
Regional,MX,,IPC,Banks,,563000000,3000,RA
Televisa,MX,,IPC,Media,1490000000,3240000000,25531,TV
Corporación Inmobiliaria Vesta,MX,,IPC,Real Estate,3170000000,304100000,94,VTMX
Volaris,MX,,IPC,Airlines,894880000,3300000000,7208,VLRS
Walmart de México y Centroamérica,MX,,IPC,Retail,46475000000,56666666667,235931,WALMEX
ABN AMRO,NL,,AEX,Banks,33750000000,9482400000,23140,ABN.AS
Adyen,NL,,AEX,Payments,27982800000,2570400000,4771,ADYEN.AS
Aegon,NL,,AEX,Insurance,12895200000,13165200000,15304,AGN.AS
Ahold Delhaize,NL,,AEX,Retail,33998400000,98658000000,384000,AD.AS
AkzoNobel,NL,,AEX,Chemicals,10767600000,10681200000,31100,AKZA.AS
ArcelorMittal,NL,,AEX,Steel,44330000000,53780000000,125554,MT.AS
ASM International,NL,,AEX,Semiconductors,47271600000,3456000000,4519,ASM.AS
ASML Holding,NL,,AEX,Semiconductors,659329200000,38156400000,43882,ASML.AS
ASR Nederland,NL,,AEX,Insurance,15606000000,18489600000,9718,ASRNL.AS
BE Semiconductor Industries,NL,,AEX,Semiconductors,21211200000,682635600,1902,BESI.AS
DSM-Firmenich,NL,,AEX,Chemicals,22701600000,9752400000,26873,DSFIR.AS
Exor,NL,,AEX,Holding,15184800000,,20,EXO.AS
Heineken,NL,,AEX,Beverages,43988400000,31050000000,81028,HEIA.AS
IMCD,NL,,AEX,Chemicals,5691600000,5194800000,5246,IMCD.AS
ING Group,NL,,AEX,Banks,90212400000,26578800000,60000,INGA.AS
KPN,NL,,AEX,Telecom,17312400000,6296400000,9293,KPN.AS
NN Group,NL,,AEX,Insurance,22690800000,15487200000,16188,NN.AS
Philips,NL,,AEX,Healthcare,24310800000,19051200000,64317,PHIA.AS
Prosus,NL,,AEX,Technology,84693600000,8420000000,41998,PRX.AS
Randstad,NL,,AEX,Staffing,6879600000,24883200000,38000,RAND.AS
RELX,NL,,AEX,Media,54270000000,12193200000,37600,REN.AS
Shell plc,NL,,AEX,Energy,214740000000,231870000000,84000,SHELL.AS
Universal Music Group,NL,,AEX,Media,35899200000,13510800000,9636,UMG.AS
Unilever,NL,,AEX,Consumer Goods,125766000000,54540000000,93733,UNA.AS
Wolters Kluwer,NL,,AEX,Media,14439600000,6620400000,20746,WKL.AS
